route,grade,grade_band,discipline,grade_system,area,wall,source,latitude,longitude,row_key,notion_page_id,status,coord_source
4einhalb,6b+,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | 4einhalb,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Dust,5a,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Dust,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Gejagter Jäger,7c,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Gejagter Jäger,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Gipfelstürmer,4c,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Gipfelstürmer,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Hasibär,5b,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Hasibär,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Holy Bastard,7a+,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Holy Bastard,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Kum Oida Press,6c,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Kum Oida Press,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Lustwandel,6b,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Lustwandel,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Mei Tante is a Kante,7a+,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Mei Tante is a Kante,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Metal Battle,8a,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Metal Battle,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Möbius,5a,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Möbius,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Nein,5a,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Nein,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
No Fun,5c,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | No Fun,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Out of the Staub,7a,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Out of the Staub,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Schattenwelt,5b,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Schattenwelt,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Sharp Bulls Eye,6a+,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Sharp Bulls Eye,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Soft Bulls Eye,5c,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Soft Bulls Eye,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Sweet Meat,6b,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Sweet Meat,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
The Green Machine,7a+,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | The Green Machine,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Willi End,5a,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Willi End,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Woozle Goozle,7b+,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Woozle Goozle,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Zorn,6b+,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | Zorn,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Altriss,4,1-4,sport,UIAA,Bucklige Welt,Gretlwandl,Keltenkalk,47.651395,16.133521,Bucklige Welt | Gretlwandl | Altriss,,in Notion DB,master xlsx (pre-existing)
Bauchweh,5+,5-7,sport,UIAA,Bucklige Welt,Gretlwandl,Keltenkalk,47.651395,16.133521,Bucklige Welt | Gretlwandl | Bauchweh,,in Notion DB,master xlsx (pre-existing)
Dämon,7-,5-7,sport,UIAA,Bucklige Welt,Gretlwandl,Keltenkalk,47.651395,16.133521,Bucklige Welt | Gretlwandl | Dämon,,in Notion DB,master xlsx (pre-existing)
Frisch Saftig Steirisch,7,5-7,sport,UIAA,Bucklige Welt,Gretlwandl,Keltenkalk,47.651395,16.133521,Bucklige Welt | Gretlwandl | Frisch Saftig Steirisch,,in Notion DB,master xlsx (pre-existing)
Gretchencrack,5+,5-7,sport,UIAA,Bucklige Welt,Gretlwandl,Keltenkalk,47.651395,16.133521,Bucklige Welt | Gretlwandl | Gretchencrack,,in Notion DB,master xlsx (pre-existing)
Herbsthorst,7-,5-7,sport,UIAA,Bucklige Welt,Gretlwandl,Keltenkalk,47.651395,16.133521,Bucklige Welt | Gretlwandl | Herbsthorst,,in Notion DB,master xlsx (pre-existing)
Jungle Rot,7-,5-7,sport,UIAA,Bucklige Welt,Gretlwandl,Keltenkalk,47.651395,16.133521,Bucklige Welt | Gretlwandl | Jungle Rot,,in Notion DB,master xlsx (pre-existing)
Opyros,7+,5-7,sport,UIAA,Bucklige Welt,Gretlwandl,Keltenkalk,47.651395,16.133521,Bucklige Welt | Gretlwandl | Opyros,,in Notion DB,master xlsx (pre-existing)
Orlok,7+,5-7,sport,UIAA,Bucklige Welt,Gretlwandl,Keltenkalk,47.651395,16.133521,Bucklige Welt | Gretlwandl | Orlok,,in Notion DB,master xlsx (pre-existing)
Rasluka,6+,5-7,sport,UIAA,Bucklige Welt,Gretlwandl,Keltenkalk,47.651395,16.133521,Bucklige Welt | Gretlwandl | Rasluka,,in Notion DB,master xlsx (pre-existing)
Rote Schlaufe,7+,5-7,sport,UIAA,Bucklige Welt,Gretlwandl,Keltenkalk,47.651395,16.133521,Bucklige Welt | Gretlwandl | Rote Schlaufe,,in Notion DB,master xlsx (pre-existing)
Runenzauber,7-,5-7,sport,UIAA,Bucklige Welt,Gretlwandl,Keltenkalk,47.651395,16.133521,Bucklige Welt | Gretlwandl | Runenzauber,,in Notion DB,master xlsx (pre-existing)
So wie Freunde sind,7,5-7,sport,UIAA,Bucklige Welt,Gretlwandl,Keltenkalk,47.651395,16.133521,Bucklige Welt | Gretlwandl | So wie Freunde sind,,in Notion DB,master xlsx (pre-existing)
Svart,7,5-7,sport,UIAA,Bucklige Welt,Gretlwandl,Keltenkalk,47.651395,16.133521,Bucklige Welt | Gretlwandl | Svart,,in Notion DB,master xlsx (pre-existing)
Triaskalk,7,5-7,sport,UIAA,Bucklige Welt,Gretlwandl,Keltenkalk,47.651395,16.133521,Bucklige Welt | Gretlwandl | Triaskalk,,in Notion DB,master xlsx (pre-existing)
Boten des Todes,7-,5-7,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Boten des Todes,,in Notion DB,master xlsx (pre-existing)
Das kluge Gretl,4-,1-4,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Das kluge Gretl,,in Notion DB,master xlsx (pre-existing)
Der Hase und der Igel,6,5-7,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Der Hase und der Igel,,in Notion DB,master xlsx (pre-existing)
Der alte Sultan,4+,1-4,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Der alte Sultan,,in Notion DB,master xlsx (pre-existing)
Der singende Knochen,4+,1-4,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Der singende Knochen,,in Notion DB,master xlsx (pre-existing)
Die 12 Brüder,5+,5-7,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Die 12 Brüder,,in Notion DB,master xlsx (pre-existing)
Die 7 Raben,4,1-4,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Die 7 Raben,,in Notion DB,master xlsx (pre-existing)
Die Alte im Wald,4-,1-4,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Die Alte im Wald,,in Notion DB,master xlsx (pre-existing)
Die weisse Schlange,5+,5-7,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Die weisse Schlange,,in Notion DB,master xlsx (pre-existing)
Dreschflegel,5-,5-7,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Dreschflegel,,in Notion DB,master xlsx (pre-existing)
Eisenhans,6,5-7,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Eisenhans,,in Notion DB,master xlsx (pre-existing)
Eisenofen,6+,5-7,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Eisenofen,,in Notion DB,master xlsx (pre-existing)
Eiserner Heinrich,5+,5-7,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Eiserner Heinrich,,in Notion DB,master xlsx (pre-existing)
Gevatter Tod,6-,5-7,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Gevatter Tod,,in Notion DB,master xlsx (pre-existing)
Goldesel,7,5-7,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Goldesel,,in Notion DB,master xlsx (pre-existing)
Goldesel Direkt,7+,5-7,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Goldesel Direkt,,in Notion DB,master xlsx (pre-existing)
Hans im Glück,4,1-4,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Hans im Glück,,in Notion DB,master xlsx (pre-existing)
Knüppel aus dem Sack,6+,5-7,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Knüppel aus dem Sack,,in Notion DB,master xlsx (pre-existing)
Krautesel,6,5-7,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Krautesel,,in Notion DB,master xlsx (pre-existing)
Kristallkugel,6+,5-7,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Kristallkugel,,in Notion DB,master xlsx (pre-existing)
Lumpengesindel,6-,5-7,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Lumpengesindel,,in Notion DB,master xlsx (pre-existing)
Piazeinstieg,5-,5-7,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Piazeinstieg,,in Notion DB,master xlsx (pre-existing)
Prinzessin Mäusehaut,6,5-7,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Prinzessin Mäusehaut,,in Notion DB,master xlsx (pre-existing)
Treuer Johannes,6+,5-7,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Treuer Johannes,,in Notion DB,master xlsx (pre-existing)
Wichtelmänner,6-,5-7,sport,UIAA,Bucklige Welt,Grimmwand,Keltenkalk,47.65307,16.133806,Bucklige Welt | Grimmwand | Wichtelmänner,,in Notion DB,master xlsx (pre-existing)
6meup,6-,5-7,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | 6meup,,in Notion DB,master xlsx (pre-existing)
Alles Porno,9+,8-11,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Alles Porno,,in Notion DB,master xlsx (pre-existing)
Dagfin,8-,8-11,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Dagfin,,in Notion DB,master xlsx (pre-existing)
Herbstleyd,5-,5-7,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Herbstleyd,,in Notion DB,master xlsx (pre-existing)
Im Trend der Zeit,6+,5-7,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Im Trend der Zeit,,in Notion DB,master xlsx (pre-existing)
Isili,8-,8-11,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Isili,,in Notion DB,master xlsx (pre-existing)
Judas Iscariot,8+,8-11,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Judas Iscariot,,in Notion DB,master xlsx (pre-existing)
Letzte Ausfahrt Dagfin,10-,8-11,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Letzte Ausfahrt Dagfin,,in Notion DB,master xlsx (pre-existing)
Mayhem,6,5-7,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Mayhem,,in Notion DB,master xlsx (pre-existing)
Merlins Crack,7+,5-7,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Merlins Crack,,in Notion DB,master xlsx (pre-existing)
Midian,8+,8-11,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Midian,,in Notion DB,master xlsx (pre-existing)
Midian Direkt,9,8-11,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Midian Direkt,,in Notion DB,master xlsx (pre-existing)
Moonfog,7+,5-7,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Moonfog,,in Notion DB,master xlsx (pre-existing)
Panzerdivision,8,8-11,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Panzerdivision,,in Notion DB,master xlsx (pre-existing)
Paraplui,7,5-7,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Paraplui,,in Notion DB,master xlsx (pre-existing)
Pfeift,8-,8-11,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Pfeift,,in Notion DB,master xlsx (pre-existing)
Quintessence,8-,8-11,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Quintessence,,in Notion DB,master xlsx (pre-existing)
Thors Wohnsitz,8-,8-11,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Thors Wohnsitz,,in Notion DB,master xlsx (pre-existing)
Tod durch Pentagramm,7,5-7,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Tod durch Pentagramm,,in Notion DB,master xlsx (pre-existing)
Wabenkante,5-,5-7,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Wabenkante,,in Notion DB,master xlsx (pre-existing)
Wadi Rum,7+,5-7,sport,UIAA,Bucklige Welt,Scheiblingkirchner Wandl,Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl | Wadi Rum,,in Notion DB,master xlsx (pre-existing)
Darwin,8a,Boulder,boulder,Font,Bucklige Welt,Scheiblingkirchner Wandl (boulders),Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl (boulders) | Darwin,,in Notion DB,master xlsx (pre-existing)
Descent of Men,5b,Boulder,boulder,Font,Bucklige Welt,Scheiblingkirchner Wandl (boulders),Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl (boulders) | Descent of Men,,in Notion DB,master xlsx (pre-existing)
Eye of the Hurricane,7a+,Boulder,boulder,Font,Bucklige Welt,Scheiblingkirchner Wandl (boulders),Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl (boulders) | Eye of the Hurricane,,in Notion DB,master xlsx (pre-existing)
Fette Qualle,6c,Boulder,boulder,Font,Bucklige Welt,Scheiblingkirchner Wandl (boulders),Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl (boulders) | Fette Qualle,,in Notion DB,master xlsx (pre-existing)
Handlertraverse,6a,Boulder,boulder,Font,Bucklige Welt,Scheiblingkirchner Wandl (boulders),Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl (boulders) | Handlertraverse,,in Notion DB,master xlsx (pre-existing)
Hui Luft und Ziag,6c,Boulder,boulder,Font,Bucklige Welt,Scheiblingkirchner Wandl (boulders),Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl (boulders) | Hui Luft und Ziag,,in Notion DB,master xlsx (pre-existing)
In Schutt und Asche,7a,Boulder,boulder,Font,Bucklige Welt,Scheiblingkirchner Wandl (boulders),Keltenkalk,47.660037,16.138196,Bucklige Welt | Scheiblingkirchner Wandl (boulders) | In Schutt und Asche,,in Notion DB,master xlsx (pre-existing)
Aller Anfang ist Schwer,6a,Boulder,boulder,Font,Kaltenleutgebner Tal,Höllenstein,Keltenkalk,48.096515,16.184047,Kaltenleutgebner Tal | Höllenstein | Aller Anfang ist Schwer,,in Notion DB,master xlsx (pre-existing)
Fanatics,6a,Boulder,boulder,Font,Kaltenleutgebner Tal,Höllenstein,Keltenkalk,48.096515,16.184047,Kaltenleutgebner Tal | Höllenstein | Fanatics,,in Notion DB,master xlsx (pre-existing)
Holter di Boulder,8+,8-11,sport,UIAA,Kaltenleutgebner Tal,Höllenstein,Keltenkalk,48.096515,16.184047,Kaltenleutgebner Tal | Höllenstein | Holter di Boulder,,in Notion DB,master xlsx (pre-existing)
Hänsel,4,1-4,sport,UIAA,Kaltenleutgebner Tal,Höllenstein,Keltenkalk,48.096515,16.184047,Kaltenleutgebner Tal | Höllenstein | Hänsel,,in Notion DB,master xlsx (pre-existing)
Höllengeist,6+,5-7,sport,UIAA,Kaltenleutgebner Tal,Höllenstein,Keltenkalk,48.096515,16.184047,Kaltenleutgebner Tal | Höllenstein | Höllengeist,,in Notion DB,master xlsx (pre-existing)
Karinweg,6-,5-7,sport,UIAA,Kaltenleutgebner Tal,Höllenstein,Keltenkalk,48.096515,16.184047,Kaltenleutgebner Tal | Höllenstein | Karinweg,,in Notion DB,master xlsx (pre-existing)
Karl Riss,7-,5-7,sport,UIAA,Kaltenleutgebner Tal,Höllenstein,Keltenkalk,48.096515,16.184047,Kaltenleutgebner Tal | Höllenstein | Karl Riss,,in Notion DB,master xlsx (pre-existing)
Lochgeist,6+/7-,5-7,sport,UIAA,Kaltenleutgebner Tal,Höllenstein,Keltenkalk,48.096515,16.184047,Kaltenleutgebner Tal | Höllenstein | Lochgeist,,in Notion DB,master xlsx (pre-existing)
Nordwestkante,5-,5-7,sport,UIAA,Kaltenleutgebner Tal,Höllenstein,Keltenkalk,48.096515,16.184047,Kaltenleutgebner Tal | Höllenstein | Nordwestkante,,in Notion DB,master xlsx (pre-existing)
Oh Teufel,7,5-7,sport,UIAA,Kaltenleutgebner Tal,Höllenstein,Keltenkalk,48.096515,16.184047,Kaltenleutgebner Tal | Höllenstein | Oh Teufel,,in Notion DB,master xlsx (pre-existing)
Quergang,5b,Boulder,boulder,Font,Kaltenleutgebner Tal,Höllenstein,Keltenkalk,48.096515,16.184047,Kaltenleutgebner Tal | Höllenstein | Quergang,,in Notion DB,master xlsx (pre-existing)
Südkante,5+,5-7,sport,UIAA,Kaltenleutgebner Tal,Höllenstein,Keltenkalk,48.096515,16.184047,Kaltenleutgebner Tal | Höllenstein | Südkante,,in Notion DB,master xlsx (pre-existing)
Südriss,3,1-4,sport,UIAA,Kaltenleutgebner Tal,Höllenstein,Keltenkalk,48.096515,16.184047,Kaltenleutgebner Tal | Höllenstein | Südriss,,in Notion DB,master xlsx (pre-existing)
Warmer Teufel,8-,8-11,sport,UIAA,Kaltenleutgebner Tal,Höllenstein,Keltenkalk,48.096515,16.184047,Kaltenleutgebner Tal | Höllenstein | Warmer Teufel,,in Notion DB,master xlsx (pre-existing)
Bärenfalle,6,5-7,sport,UIAA,Kaltenleutgebner Tal,Jungkunststein,Keltenkalk,48.109702,16.204405,Kaltenleutgebner Tal | Jungkunststein | Bärenfalle,,in Notion DB,master xlsx (pre-existing)
Die Junge Bärin,3-,1-4,sport,UIAA,Kaltenleutgebner Tal,Jungkunststein,Keltenkalk,48.109702,16.204405,Kaltenleutgebner Tal | Jungkunststein | Die Junge Bärin,,in Notion DB,master xlsx (pre-existing)
Direkte Nord,5,5-7,sport,UIAA,Kaltenleutgebner Tal,Jungkunststein,Keltenkalk,48.109702,16.204405,Kaltenleutgebner Tal | Jungkunststein | Direkte Nord,,in Notion DB,master xlsx (pre-existing)
Eierbär,5a,Boulder,boulder,Font,Kaltenleutgebner Tal,Jungkunststein,Keltenkalk,48.109702,16.204405,Kaltenleutgebner Tal | Jungkunststein | Eierbär,,in Notion DB,master xlsx (pre-existing)
Försterweg,4,1-4,sport,UIAA,Kaltenleutgebner Tal,Jungkunststein,Keltenkalk,48.109702,16.204405,Kaltenleutgebner Tal | Jungkunststein | Försterweg,,in Notion DB,master xlsx (pre-existing)
Grosser Bär,6,5-7,sport,UIAA,Kaltenleutgebner Tal,Jungkunststein,Keltenkalk,48.109702,16.204405,Kaltenleutgebner Tal | Jungkunststein | Grosser Bär,,in Notion DB,master xlsx (pre-existing)
Hacki Bär,3-,1-4,sport,UIAA,Kaltenleutgebner Tal,Jungkunststein,Keltenkalk,48.109702,16.204405,Kaltenleutgebner Tal | Jungkunststein | Hacki Bär,,in Notion DB,master xlsx (pre-existing)
Meister Petz,5,5-7,sport,UIAA,Kaltenleutgebner Tal,Jungkunststein,Keltenkalk,48.109702,16.204405,Kaltenleutgebner Tal | Jungkunststein | Meister Petz,,in Notion DB,master xlsx (pre-existing)
Nordwandriss,5-,5-7,sport,UIAA,Kaltenleutgebner Tal,Jungkunststein,Keltenkalk,48.109702,16.204405,Kaltenleutgebner Tal | Jungkunststein | Nordwandriss,,in Notion DB,master xlsx (pre-existing)
