my_wall,route,my_grade,match,db_wall,db_grade,grade_differs,notion_page_id
Breite Wand,Alte Verschneidung,5+,exists_in_db,Breite Wand,5+,,3a921413-5351-81b3-8304-c880b2047eeb
Breite Wand,Andante,5-,exists_in_db,Breite Wand,5-,,3a921413-5351-8122-a2af-ff81a75f2295
Breite Wand,Beiszunge,7-,new_not_in_db,,,,
Breite Wand,Black Out,8-,exists_in_db,Breite Wand,8-,,3a921413-5351-811d-95d5-dfe2758f2669
Breite Wand,Cheyenne,7+/8-,exists_in_db,Breite Wand,7+/8-,,3a921413-5351-812e-a276-f91488671ad1
Breite Wand,Dachrinne,5+,exists_in_db,Breite Wand,5-,YES,3a921413-5351-81c4-8c56-f117928c99ed
Breite Wand,Direkter Efeusteig,6+,exists_in_db,Breite Wand,6+,,3a921413-5351-8155-bec9-cb460350aa17
Breite Wand,Down Under Show,8/8+,exists_in_db,Breite Wand,8,YES,3a921413-5351-8164-9399-c0d1462dbea9
Breite Wand,Einstiegsvariante,5+,exists_in_db,Breite Wand,5+,,3a921413-5351-81ec-b406-ef6f8d49c037
Breite Wand,Excalibur,9-/9,exists_in_db,Breite Wand,9-/9,,3a921413-5351-8113-a70c-e0901b5bbb91
Breite Wand,Fingerhut,7-,exists_in_db,Breite Wand,7-,,3a921413-5351-81da-85b5-f12d7b957c4c
Breite Wand,Für Anfänger,4,exists_in_db,Breite Wand,4,,3a921413-5351-81a1-9437-ea17f0f31426
Breite Wand,Für Grobla,2,exists_in_db,Breite Wand,2,,3a921413-5351-8177-924e-d59a15ef1a3c
Breite Wand,Grrr,7,exists_in_db,Breite Wand,7,,3a921413-5351-8141-a7b0-d1fb9771ef76
Breite Wand,Heilfroh,4,exists_in_db,Breite Wand,4+,YES,3a921413-5351-816d-ad8e-f4e375789ba5
Breite Wand,Hundewetter,7,exists_in_db,Breite Wand,7,,3a921413-5351-814e-ae77-e4c6cb24da69
Breite Wand,Kaffee mit Kuchen,8,exists_in_db,Breite Wand,8,,3a921413-5351-81f0-8364-f417651b640e
Breite Wand,Kinderfest bei Pumuckl,8,exists_in_db,Breite Wand,8-,YES,3a921413-5351-816e-9108-f82b3c3cb822
Breite Wand,Linker Einstieg (Breite Wand a),4,exists_in_db,Breite Wand,4,,3a921413-5351-8151-8cb7-e2b46e47d52b
Breite Wand,Linker Einstieg (Breite Wand b),5,exists_in_db,Breite Wand,5,,3a921413-5351-81a9-b70a-fc29517f4103
Breite Wand,Linker Einstieg (Breite Wand c),7,exists_in_db,Breite Wand,4,YES,3a921413-5351-8151-8cb7-e2b46e47d52b
Breite Wand,Lulu,6,exists_in_db,Breite Wand,6,,3a921413-5351-8139-bf00-fe026448e031
Breite Wand,Mixer,6,exists_in_db,Breite Wand,6,,3a921413-5351-81eb-be97-f4305164dc84
Breite Wand,Mon Amour Physique,9+/10-,exists_in_db,Breite Wand,9+/10-,,3a921413-5351-815a-a3be-eabf4c346c40
Breite Wand,Mord am dritten Finger,9,exists_in_db,Breite Wand,9-,YES,3a921413-5351-81a6-8590-dd24634324a9
Breite Wand,Neue Blockrampe,5-,exists_in_db,Breite Wand,5-,,3a921413-5351-816e-a697-d6f312db913c
Breite Wand,Neuer Diagonalriss,6+,exists_in_db,Breite Wand,6+,,3a921413-5351-8179-889f-d8858a5e70ac
Breite Wand,Neuer Efeusteig,5+,exists_in_db,Breite Wand,5-,YES,3a921413-5351-814f-91c2-c6e1a2080795
Breite Wand,Neuer R-Steig,5-,exists_in_db,Breite Wand,5-,,3a921413-5351-8161-875c-e74604830bf6
Breite Wand,Pfarrer Assmann,6+,exists_in_db,Breite Wand,6+,,3a921413-5351-811a-99f7-f4f7213870e1
Breite Wand,Pinkel Flink,7,exists_in_db,Breite Wand,7,,3a921413-5351-819f-b8a5-c97e5b4a2375
Breite Wand,Poltergeist (Breite Wand),7-,exists_in_db,Breite Wand,7,YES,3a921413-5351-81c1-8512-cb693b704ca9
Breite Wand,Prügelknabe,6,exists_in_db,Breite Wand,6,,3a921413-5351-8161-9ad1-cb15bd5a1ffe
Breite Wand,Ratte,5+,exists_in_db,Breite Wand,5+,,3a921413-5351-81d3-b803-c113abccfb9a
Breite Wand,Reinboltz,7-,exists_in_db,Breite Wand,7,YES,3a921413-5351-8127-8d60-e5534ceb0303
Breite Wand,Schas im Wald,6+,exists_in_db,Breite Wand,6+,,3a921413-5351-8133-9250-d7a221b25998
Breite Wand,Selbstmörderriss,5+,exists_in_db,Breite Wand,5+,,3a921413-5351-81d2-88de-c50a190f753c
Breite Wand,Spezifisch Dynamisch,9,exists_in_db,Breite Wand,9,,3a921413-5351-8124-91a4-d1d17431e451
Breite Wand,The Boxer,8-,exists_in_db,Breite Wand,8-,,3a921413-5351-8145-a128-d6495e9c3e0f
Breite Wand,Toccata,7-,exists_in_db,Breite Wand,7-,,3a921413-5351-8125-bbcd-eac2a77ccd5c
Breite Wand,Tolle Biene,8+,exists_in_db,Breite Wand,8+,,3a921413-5351-8130-a3b3-de6bfd18fdd2
Breite Wand,Triplix,7-,exists_in_db,Breite Wand,7-,,3a921413-5351-810d-9a06-f85b9cb072de
Breite Wand,Vivaldi,6+,exists_in_db,Breite Wand,6+,,3a921413-5351-8187-8023-ed3b4ae8b19d
Breite Wand,Wasserfall,6+,exists_in_db,Breite Wand,6+,,3a921413-5351-8190-8fae-c737fac8f8f0
Breite Wand,Wassermann,6+,exists_in_db,Breite Wand,6+,,3a921413-5351-8167-8e6f-cedb32d38c4d
Breite Wand,Whiskey,6,exists_in_db,Breite Wand,6,,3a921413-5351-8146-9c0b-c5d54838c37a
Breite Wand,Wilde Mexikanerin,5,exists_in_db,Breite Wand,5+,YES,3a921413-5351-8168-8e6f-fb5a1f7fe1b9
Breite Wand,Zum Drüberhaun,6+,exists_in_db,Breite Wand,6+,,3a921413-5351-8185-90d1-c0bcaa2bdde1
Breite Wand (Boulder),Alice im Muskelland,8b,exists_in_db,Breite Wand,8b+,YES,3a921413-5351-8183-861b-de3b59b5f232
Dachswandl,Bissiger Dachs,7,new_not_in_db,,,,
Dachswandl,Bröselriss,3+,new_not_in_db,,,,
Dachswandl,Dachsbeute,5+,new_not_in_db,,,,
Dachswandl,Dachsfalle,6+,new_not_in_db,,,,
Dachswandl,Dachsfell,5+,new_not_in_db,,,,
Dachswandl,Unterarmalarm,4+,new_not_in_db,,,,
Dachswandl,Wilder Dachs,6+,new_not_in_db,,,,
Efeufelsen,Artistensteig,4+,exists_in_db,Efeufelsen,4+,,3a921413-5351-81dd-b959-d01daeb495e9
Efeufelsen,Direkter Ausstieg (Efeufelsen),6+,exists_in_db,Efeufelsen,6+,,3a921413-5351-8147-9ec8-fb2ca698680b
Efeufelsen,Dont Fly,7,exists_in_db,Efeufelsen,7,,3a921413-5351-81e1-862b-caa9a6423b50
Efeufelsen,Efeulaus,6,exists_in_db,Efeufelsen,6,,3a921413-5351-8144-9c40-cd4b28aae223
Efeufelsen,Empty Garden,7,exists_in_db,Efeufelsen,7,,3a921413-5351-816d-b9da-e51d7e95041c
Efeufelsen,Gelber Steig,6,exists_in_db,Efeufelsen,6,,3a921413-5351-8132-af83-c1f7dc5234e9
Efeufelsen,Heavy Metal Pepi,7,exists_in_db,Efeufelsen,7,,3a921413-5351-8119-9227-d45c737431e1
Efeufelsen,Im Schatten der Burenwurst,9,exists_in_db,Efeufelsen,9,,3a921413-5351-8120-bc41-c4aa992d011c
Efeufelsen,Pensionistenfick,9-,exists_in_db,Efeufelsen,9-,,3a921413-5351-81ca-8e0d-ce2941ec1df6
Efeufelsen,Rechter Einstieg,4,exists_in_db,Efeufelsen,4+,YES,3a921413-5351-8137-905e-c409481ca944
Efeufelsen,Reichtvariante,8+,exists_in_db,Efeufelsen,8+,,3a921413-5351-81f6-96b5-e4b8e0fc7006
Efeufelsen,Testpiloten Vortreten,9-/9,exists_in_db,Efeufelsen,9-/9,,3a921413-5351-81f1-a40b-d4c1f58d6de3
Efeufelsen,Teufelspromenade,8-,exists_in_db,Efeufelsen,8-,,3a921413-5351-817d-b843-c3484146bb51
Efeufelsen (Boulder),Long Drive,6b,exists_in_db,Efeufelsen,6b,,3a921413-5351-81e1-80ff-c5051685f4a5
Engelstein,Adolfons,8,exists_in_db,Engelstein,8,,3a921413-5351-81e8-ab47-ed2dfb05025e
Engelstein,Ameisenflipp,5+,exists_in_db,Engelstein,5+,,3a921413-5351-8121-b184-d741f86426e8
Engelstein,Bissige Kreuzspinne,6+,exists_in_db,Engelstein,6+,,3a921413-5351-8135-9c55-cb3d715e1735
Engelstein,Drum Dream,7,exists_in_db,Engelstein,7,,3a921413-5351-8166-8f13-e675fa347222
Engelstein,Gichtfinger,9-,exists_in_db,Engelstein,9-,,3a921413-5351-81b2-af66-d6b1bda7d9e9
Engelstein,Happy Day,8-,exists_in_db,Engelstein,8-,,3a921413-5351-8179-bd2a-f601e4bb78ce
Engelstein,Heaven and Hell,7+,exists_in_db,Engelstein,7+,,3a921413-5351-813c-bfa3-f13d3eb32070
Engelstein,Kabanossi,7+,exists_in_db,Engelstein,7+,,3a921413-5351-810a-9c87-ef374679340f
Engelstein,Katzenjammer,8,exists_in_db,Engelstein,8,,3a921413-5351-812b-891f-d99b45771df8
Engelstein,Kurzer Murx,6-,exists_in_db,Engelstein,6-,,3a921413-5351-8118-8b23-ffbd0952c314
Engelstein,Onsight Adelheid,8,exists_in_db,Engelstein,8,,3a921413-5351-81b8-bc31-d0ed8f507e1b
Engelstein,Ossikaba,7+,exists_in_db,Engelstein,7+,,3a921413-5351-81c5-a079-f73bc494c27f
Engelstein,Schleudergefahr,8-,exists_in_db,Engelstein,8-,,3a921413-5351-81da-bea2-f96f3be7d7f6
Engelstein,Schlichtweg,8,exists_in_db,Engelstein,8,,3a921413-5351-8141-a4ac-c80fa942d3d4
Engelstein,Tollwut,7+,exists_in_db,Engelstein,7+,,3a921413-5351-8121-bb51-f1bc5c3ccb57
Engelstein,Weg aus dem Fisch,8,exists_in_db,Engelstein,8,,3a921413-5351-8190-a940-eca24f5fae25
Engelstein,Yellow Submarine,8-,exists_in_db,Engelstein,8-,,3a921413-5351-81d5-bce6-f96b3c612567
Engelstein (Boulder),Helmatraverse,8a,exists_in_db,Engelstein,8a,,3a921413-5351-8129-a450-d8fa6874bca2
Helenentaler Blöcke,Atlas,4+,new_not_in_db,,,,
Helenentaler Blöcke,Beisszange,7,exists_in_db,Helenentaler Blöcke,7,,3a921413-5351-8136-b9b1-e3d44d1f7fd2
Helenentaler Blöcke,Blauer Fritz,4+,new_not_in_db,,,,
Helenentaler Blöcke,Bloc Infernal,9+,exists_in_db,Helenentaler Blöcke,9+,,3a921413-5351-81d1-b0d5-eb89151cfbef
Helenentaler Blöcke,Die Last des Erbes,9,exists_in_db,Helenentaler Blöcke,9,,3a921413-5351-814a-a4bb-cc19308b5e2a
Helenentaler Blöcke,Direkter Ausstieg (Helenentaler a),6+,exists_in_db,Efeufelsen,6+,,3a921413-5351-8147-9ec8-fb2ca698680b
Helenentaler Blöcke,Direkter Ausstieg (Helenentaler b),5,exists_in_db,Efeufelsen,6+,YES,3a921413-5351-8147-9ec8-fb2ca698680b
Helenentaler Blöcke,Fritzlpromenade,3,new_not_in_db,,,,
Helenentaler Blöcke,Grosses Aufwärmen,7,exists_in_db,Helenentaler Blöcke,7,,3a921413-5351-816b-97fe-cc6a2fe5f5b6
Helenentaler Blöcke,Grünmandl,5-,exists_in_db,Helenentaler Blöcke,5-,,3a921413-5351-81cb-ac03-d860a074b327
Helenentaler Blöcke,Heimoverschneidung,5,exists_in_db,Helenentaler Blöcke,5,,3a921413-5351-819b-be5c-ee5a332745d7
Helenentaler Blöcke,Heini,8,exists_in_db,Helenentaler Blöcke,8,,3a921413-5351-8114-a30c-c612cdd58062
Helenentaler Blöcke,Helmut,9+,exists_in_db,Helenentaler Blöcke,9+,,3a921413-5351-81f8-aa74-d37325c3dd87
Helenentaler Blöcke,Kasu,5-,exists_in_db,Helenentaler Blöcke,5-,,3a921413-5351-811e-b3b3-eb70cf7bb4f8
Helenentaler Blöcke,Keine Wahl,5-,new_not_in_db,,,,
Helenentaler Blöcke,Little Crack,7,new_not_in_db,,,,
Helenentaler Blöcke,Mariannenkante,4,new_not_in_db,,,,
Helenentaler Blöcke,Männerträume,8+,exists_in_db,Helenentaler Blöcke,8+,,3a921413-5351-81f3-b369-ee892461d2f4
Helenentaler Blöcke,Non Plus Ultra Steig,5-,exists_in_db,Helenentaler Blöcke,5-,,3a921413-5351-8103-86f9-ce0665bb51ac
Helenentaler Blöcke,Ohmeier,4+,new_not_in_db,,,,
Helenentaler Blöcke,Riesengrosses Aufwärmen,8-,exists_in_db,Helenentaler Blöcke,8-,,3a921413-5351-8125-86cd-f394d76de7b9
Helenentaler Blöcke,Ruck Zuck,5-,exists_in_db,Helenentaler Blöcke,5-,,3a921413-5351-817a-b79c-e9716209b0ce
Helenentaler Blöcke,Stoja Steig,5,exists_in_db,Helenentaler Blöcke,5,,3a921413-5351-813f-b662-ecc489ceb4bc
Helenentaler Blöcke,Sweet City Woman,10-,exists_in_db,Helenentaler Blöcke,10-,,3a921413-5351-81de-9b6b-f3a6261e6aa8
Helenentaler Blöcke,White Edge,9-,exists_in_db,Helenentaler Blöcke,9-,,3a921413-5351-81dc-927d-ffddf2d5dea7
Helenentaler Blöcke,Wilde Züge,8,exists_in_db,Helenentaler Blöcke,8,,3a921413-5351-8154-833d-d08d4ff77a64
Helenentaler Blöcke,Zephir,4,exists_in_db,Helenentaler Blöcke,4,,3a921413-5351-81be-8ec3-e6e335ce0a95
Helenentaler Blöcke (Boulder),Muttis Liebling,6c,new_not_in_db,,,,
Helenentaler Blöcke (Boulder),Scheisszange,6a,new_not_in_db,,,,
Herziges Türmchen,...und die Kleinen verrecken,7,new_not_in_db,,,,
Herziges Türmchen,Dschungeldach,5+,new_not_in_db,,,,
Herziges Türmchen,Herziges Türmchen,7-,new_not_in_db,,,,
Jammerwandl,Ameisenbär,6+,new_not_in_db,,,,
Jammerwandl,Ameisenmord,7,new_not_in_db,,,,
Jammerwandl,Berta,7-,new_not_in_db,,,,
Jammerwandl,Bertl,6-,new_not_in_db,,,,
Jammerwandl,Bunte Kuh,7,new_not_in_db,,,,
Jammerwandl,Dacquis,5+,new_not_in_db,,,,
Jammerwandl,Das Comeback,7-,new_not_in_db,,,,
Jammerwandl,Das grosse Aufwärmen,7-,new_not_in_db,,,,
Jammerwandl,Das kleine Aufwärmen,5,new_not_in_db,,,,
Jammerwandl,Direkter Einstieg (Jammerwandl a),5,exists_in_db,Ruachlerkamm,7-,YES,3a921413-5351-8123-9f01-fcc196fd52be
Jammerwandl,Direkter Einstieg (Jammerwandl b),5+,exists_in_db,Ruachlerkamm,7-,YES,3a921413-5351-8123-9f01-fcc196fd52be
Jammerwandl,Efeuteufel,8,new_not_in_db,,,,
Jammerwandl,Efeuzorn,7,new_not_in_db,,,,
Jammerwandl,Faade Nocken,6+,new_not_in_db,,,,
Jammerwandl,Golden Ambrosia,7,new_not_in_db,,,,
Jammerwandl,Hexalotte,7-,new_not_in_db,,,,
Jammerwandl,Invasion der Ameisen,7-,new_not_in_db,,,,
Jammerwandl,Jammer Pepi,6+,new_not_in_db,,,,
Jammerwandl,Junge Römer,7+,new_not_in_db,,,,
Jammerwandl,Kurze Kamine,5,new_not_in_db,,,,
Jammerwandl,Laubfrosch,6+,new_not_in_db,,,,
Jammerwandl,Lueg emol es bitzeli,4+,new_not_in_db,,,,
Jammerwandl,Mayflower Nr 1,5+,new_not_in_db,,,,
Jammerwandl,Ohne Baum,6+,new_not_in_db,,,,
Jammerwandl,Plattenzauber,6,new_not_in_db,,,,
Jammerwandl,Putzteufel,5+,new_not_in_db,,,,
Jammerwandl,Sai ned faaad,9-,new_not_in_db,,,,
Jammerwandl,Schokopalatschinke,6+,new_not_in_db,,,,
Jammerwandl,Schuppe der Zweifel,6,new_not_in_db,,,,
Jammerwandl,Sonnenkante,4+,new_not_in_db,,,,
Jammerwandl,Tante Emma,7,new_not_in_db,,,,
Jammerwandl,Terassendiagonale,5+,new_not_in_db,,,,
Jammerwandl,Teststrecke,6,new_not_in_db,,,,
Jammerwandl,Topstar,7,new_not_in_db,,,,
Jammerwandl,Unschlüssig,8,new_not_in_db,,,,
Jammerwandl,Variante (Jammerwandl),6+/7-,exists_in_db,Trenkerwand,6+,YES,3a921413-5351-816e-96e6-d7e49e83dad5
Jammerwandl,Wilder Schnittlauch,5,new_not_in_db,,,,
Ospwandl,Cooper,7+/8-,new_not_in_db,,,,
Ospwandl,Cooper Hard,8-/8,new_not_in_db,,,,
Ospwandl,Little OSP,9-,new_not_in_db,,,,
Ospwandl,Poltergeist (Ospwandl),7+,exists_in_db,Breite Wand,7,YES,3a921413-5351-81c1-8512-cb693b704ca9
Ospwandl,Primorka,8+/9-,new_not_in_db,,,,
Ospwandl,Saft,8,new_not_in_db,,,,
Rum (Boulder),Bier,6a,new_not_in_db,,,,
Rum (Boulder),Pezi Bär,7a,new_not_in_db,,,,
Rum (Boulder),Rum,6b,new_not_in_db,,,,
Scharfeneck,A Lurch (Scharfeneck),7+,new_not_in_db,,,,
Scharfeneck,Der Standard,7+,new_not_in_db,,,,
Scharfeneck,Die Klassische,6,new_not_in_db,,,,
Scharfeneck,Entbestialisierung,7,new_not_in_db,,,,
Scharfeneck,Grundkurs,3,new_not_in_db,,,,
Scharfeneck,Hekla,9,new_not_in_db,,,,
Scharfeneck,Kudlmudl,6,new_not_in_db,,,,
Scharfeneck,Kuschelecke Extrem,6,new_not_in_db,,,,
Scharfeneck,Leben und Leben lassen,9+,new_not_in_db,,,,
Scharfeneck,Milde Bestie,7-,new_not_in_db,,,,
Scharfeneck,Nordwest,6-,new_not_in_db,,,,
Scharfeneck,Schubumkehr,10-,new_not_in_db,,,,
Scharfeneck,Schuppenriss,4+,new_not_in_db,,,,
Scharfeneck,Stolperstein,6,new_not_in_db,,,,
Scharfeneck,Toprope Verbot,7-,new_not_in_db,,,,
Scharfeneck,Tumor,7,exists_in_db,Ruachlerkamm,9,YES,3a921413-5351-8189-93cb-f7ca90b16f90
Scharfeneck,Unten Hui Oben Pfui,5-,new_not_in_db,,,,
Scharfeneck,Verbindung,6+,new_not_in_db,,,,
Scharfeneck,Waldgnom,6,new_not_in_db,,,,
Scharfeneck,Wilde Bestie,8,new_not_in_db,,,,
Scharfeneck,Zwerg Nase,8+,new_not_in_db,,,,
Siegenfelder Steinbruch,Blaupunkt,5,exists_in_db,Siegenfelder Steinbruch,5-,YES,3a921413-5351-81c6-99b1-fdc72c96822e
Siegenfelder Steinbruch,Kurz und Bündig,5,exists_in_db,Siegenfelder Steinbruch,5-,YES,3a921413-5351-8149-9ad2-e89f97c02ae0
Siegenfelder Steinbruch,Numb,5,exists_in_db,Siegenfelder Steinbruch,5+,YES,3a921413-5351-81dc-be09-f9a2782640c0
Siegenfelder Steinbruch,Plattiger Riss,3+,exists_in_db,Siegenfelder Steinbruch,3+,,3a921413-5351-8166-a10f-f2777128498d
Siegenfelder Steinbruch,Prinz,4,exists_in_db,Siegenfelder Steinbruch,4+,YES,3a921413-5351-81da-ab62-cd6e31a608f9
Siegenfelder Steinbruch,Rozario,5,exists_in_db,Siegenfelder Steinbruch,5-,YES,3a921413-5351-81fe-9853-f9b1e86f3d38
Siegenfelder Steinbruch,Streitspur,4+,exists_in_db,Siegenfelder Steinbruch,4+,,3a921413-5351-810f-a7d0-fe0be595b4ab
Siegenfelder Steinbruch,The Fox,5,exists_in_db,Siegenfelder Steinbruch,5-,YES,3a921413-5351-8121-80c7-d130ca390ad2
Siegenfelder Steinbruch,Vergessener Grat,3+,exists_in_db,Siegenfelder Steinbruch,3+,,3a921413-5351-815e-b971-f2af1d3bf9e8
Siegenfelder Steinbruch,Waiting,5,exists_in_db,Siegenfelder Steinbruch,5,,3a921413-5351-816f-b0ad-d42386608e14
Siegenfelder Steinbruch,Weisser Pfeiler,4,exists_in_db,Siegenfelder Steinbruch,4-,YES,3a921413-5351-8124-971c-c9c68efb0f79
Siegenfelder Steinbruch,Zooropa,8,exists_in_db,Siegenfelder Steinbruch,8-,YES,3a921413-5351-81e2-a007-f8e87647d40f
Siegenfelder Steinbruch (Boulder),Little Foot,6a,exists_in_db,Siegenfelder Steinbruch,6a+,YES,3a921413-5351-8192-b410-cb6637dc7520
Trenkerwand,Adrenalin,7,exists_in_db,Trenkerwand,7-,YES,3a921413-5351-81ef-9852-c9a04c10f09e
Trenkerwand,Alfi,5+,exists_in_db,Trenkerwand,5+,,3a921413-5351-81a9-9bfd-caaa5d630537
Trenkerwand,Alive in Wonderland,8,new_not_in_db,,,,
Trenkerwand,Ballett Volta,8-,exists_in_db,Trenkerwand,8-,,3a921413-5351-81df-93ab-dd4db51a4528
Trenkerwand,Baumkamin,4+,new_not_in_db,,,,
Trenkerwand,Bügeleisen,8-,new_not_in_db,,,,
Trenkerwand,Bügeleisen Direkt,8,new_not_in_db,,,,
Trenkerwand,Cento,6+,new_not_in_db,,,,
